"الترتيب
","الرواية
","المؤلف
","البلد
"
"33
","الاعتراف
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D9%81_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","علي أبو الريش
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%8A_%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D8%B1%D9%8A%D8%B4"")"," الإمارات العربية المتحدة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9"")"
"34
","النخلة والجيران
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D8%AE%D9%84%D8%A9_%D9%88%D8%A7%D9%84%D8%AC%D9%8A%D8%B1%D8%A7%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","غائب طعمة فرمان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D8%A6%D8%A8_%D8%B7%D8%B9%D9%85%D8%A9_%D9%81%D8%B1%D9%85%D8%A7%D9%86"")"," العراق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82"")"
"35
","العصفورية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B5%D9%81%D9%88%D8%B1%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","غازي القصيبي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D8%B2%D9%8A_%D8%A7%D9%84%D9%82%D8%B5%D9%8A%D8%A8%D9%8A"")"," السعودية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9"")"
"36
","قنديل أم هاشم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84_%D8%A3%D9%85_%D9%87%D8%A7%D8%B4%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","يحيي حقي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%8A%D8%AD%D9%8A%D9%89_%D8%AD%D9%82%D9%8A"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"37
","العودة إلى المنفى
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9_%D8%A5%D9%84%D9%89_%D8%A7%D9%84%D9%85%D9%86%D9%81%D9%89"")","أبو المعاطي أبو النجا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B7%D9%8A_%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D9%86%D8%AC%D8%A7"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"38
","وكالة عطية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%88%D9%83%D8%A7%D9%84%D8%A9_%D8%B9%D8%B7%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","خيري شلبي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AE%D9%8A%D8%B1%D9%8A_%D8%B4%D9%84%D8%A8%D9%8A"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"39
","تماس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%85%D8%A7%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","عروسية النالوتي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%B1%D9%88%D8%B3%D9%8A%D8%A9_%D8%A7%D9%84%D9%86%D8%A7%D9%84%D9%88%D8%AA%D9%8A"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"40
","سلطانة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%84%D8%B7%D8%A7%D9%86%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","غالب هلسا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D9%84%D8%A8_%D9%87%D9%84%D8%B3%D8%A7"")"," الأردن
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86"")"
"41
","مالك الحزين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%A7%D9%84%D9%83_%D8%A7%D9%84%D8%AD%D8%B2%D9%8A%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","إبراهيم أصلان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A3%D8%B5%D9%84%D8%A7%D9%86"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"42
","باب الشمس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A8%D8%A7%D8%A8_%D8%A7%D9%84%D8%B4%D9%85%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","إلياس خوري
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D9%84%D9%8A%D8%A7%D8%B3_%D8%AE%D9%88%D8%B1%D9%8A"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
